name,category,stock,price,supplier
Home & Kitchen Eco Product 28,Home & Kitchen,413,171.23,StyleInc
Home & Kitchen Elite Gadget 21,Home & Kitchen,413,130.36,FitGear
Clothing Super Accessory 11,Clothing,192,166.04,StyleInc
Clothing Super Accessory 63,Clothing,381,142.12,FitGear
Grocery Smart Widget 31,Grocery,278,158.17,FitGear
Electronics Basic Kit 82,Electronics,300,74.22,StyleInc
Clothing Basic Pack 55,Clothing,101,297.29,TechCorp
Clothing Basic Kit 18,Clothing,130,244.5,StyleInc
Electronics Classic Gadget 90,Electronics,273,194.79,FitGear
Sports Pro Accessory 75,Sports,475,484.5,FreshFarms
Clothing Elite Accessory 33,Clothing,377,477.37,HomeGoods LLC
Grocery Super Kit 56,Grocery,458,345.06,FreshFarms
Clothing Ultra Pack 20,Clothing,275,111.92,TechCorp
Sports Max Gadget 95,Sports,128,413.97,HomeGoods LLC
Electronics Basic Device 23,Electronics,353,301.48,HomeGoods LLC
Grocery Ultra Product 98,Grocery,402,179.65,HomeGoods LLC
Home & Kitchen Pro Widget 61,Home & Kitchen,443,53.22,TechCorp
Electronics Super Item 69,Electronics,489,276.09,FreshFarms
Home & Kitchen Eco Bundle 92,Home & Kitchen,376,242.23,StyleInc
Grocery Classic Tool 26,Grocery,360,16.3,TechCorp
Grocery Smart Bundle 40,Grocery,147,422.94,HomeGoods LLC
Sports Eco Device 51,Sports,389,450.67,FreshFarms
Home & Kitchen Classic Kit 86,Home & Kitchen,390,270.75,FitGear
Grocery Elite Accessory 22,Grocery,464,89.25,TechCorp
Electronics Ultra Kit 51,Electronics,86,75.37,StyleInc
Grocery Basic Device 65,Grocery,427,39.85,HomeGoods LLC
Electronics Max Pack 93,Electronics,210,483.99,FreshFarms
Electronics Basic Device 65,Electronics,219,206.76,StyleInc
Sports Eco Product 64,Sports,122,371.49,FitGear
Electronics Basic Accessory 40,Electronics,17,97.56,FitGear
Grocery Eco Gadget 76,Grocery,49,88.88,StyleInc
Sports Elite Device 52,Sports,306,361.59,HomeGoods LLC
Clothing Eco Product 21,Clothing,468,39.91,FreshFarms
Sports Classic Product 60,Sports,367,289.68,FitGear
Grocery Eco Kit 68,Grocery,227,298.93,FreshFarms
Clothing Max Kit 59,Clothing,68,358.19,FreshFarms
Sports Basic Item 52,Sports,146,312.71,FreshFarms
Home & Kitchen Ultra Accessory 55,Home & Kitchen,233,240.86,TechCorp
Home & Kitchen Premium Accessory 73,Home & Kitchen,137,216.72,TechCorp
Grocery Super Device 45,Grocery,20,87.92,HomeGoods LLC
Clothing Pro Gadget 21,Clothing,251,443.42,FreshFarms
Clothing Basic Bundle 51,Clothing,477,416.09,HomeGoods LLC
Electronics Ultra Product 13,Electronics,32,327.13,FreshFarms
Clothing Pro Device 77,Clothing,203,388.67,FitGear
Clothing Smart Accessory 33,Clothing,367,471.32,StyleInc
Electronics Classic Gadget 96,Electronics,488,215.82,FitGear
Electronics Classic Gadget 52,Electronics,65,160.22,StyleInc
Sports Ultra Bundle 88,Sports,497,155.37,HomeGoods LLC
Sports Smart Widget 44,Sports,430,273.0,HomeGoods LLC
Clothing Smart Product 33,Clothing,447,468.76,FreshFarms
Clothing Basic Pack 25,Clothing,162,390.62,HomeGoods LLC
Electronics Eco Accessory 12,Electronics,385,407.51,HomeGoods LLC
Grocery Pro Product 67,Grocery,375,379.02,HomeGoods LLC
Clothing Pro Tool 98,Clothing,425,224.4,FitGear
Home & Kitchen Smart Gadget 28,Home & Kitchen,351,103.04,FitGear
Sports Pro Kit 47,Sports,202,193.88,HomeGoods LLC
Electronics Smart Accessory 83,Electronics,254,251.52,StyleInc
Home & Kitchen Super Accessory 20,Home & Kitchen,343,52.7,FitGear
Grocery Classic Widget 61,Grocery,85,88.45,TechCorp
Grocery Smart Bundle 88,Grocery,39,490.94,StyleInc
Sports Super Tool 42,Sports,296,126.44,StyleInc
Clothing Elite Bundle 95,Clothing,195,443.62,StyleInc
Sports Super Item 80,Sports,202,5.94,TechCorp
Clothing Eco Pack 95,Clothing,152,128.12,FreshFarms
Home & Kitchen Premium Gadget 68,Home & Kitchen,153,403.6,FitGear
Grocery Pro Kit 47,Grocery,154,106.02,HomeGoods LLC
Electronics Elite Device 18,Electronics,201,101.08,FreshFarms
Home & Kitchen Classic Widget 66,Home & Kitchen,270,163.12,FreshFarms
Electronics Eco Item 78,Electronics,172,224.66,FreshFarms
Clothing Classic Kit 68,Clothing,226,306.06,FitGear
Home & Kitchen Pro Product 43,Home & Kitchen,320,390.9,FreshFarms
Home & Kitchen Smart Pack 84,Home & Kitchen,74,321.0,HomeGoods LLC
Clothing Pro Product 79,Clothing,351,101.49,FreshFarms
Home & Kitchen Classic Gadget 62,Home & Kitchen,99,290.29,TechCorp
Electronics Basic Gadget 25,Electronics,201,47.78,FreshFarms
Electronics Premium Item 15,Electronics,187,304.0,FitGear
Sports Smart Widget 44,Sports,49,192.35,FitGear
Grocery Max Product 75,Grocery,166,254.21,HomeGoods LLC
Electronics Classic Item 71,Electronics,486,173.75,StyleInc
Grocery Pro Pack 76,Grocery,9,55.31,FreshFarms
Grocery Basic Product 51,Grocery,209,321.5,StyleInc
Electronics Ultra Accessory 41,Electronics,470,275.52,HomeGoods LLC
Grocery Eco Device 14,Grocery,60,407.11,HomeGoods LLC
Sports Ultra Item 41,Sports,232,435.88,StyleInc
Clothing Ultra Accessory 52,Clothing,71,442.52,FreshFarms
Grocery Ultra Device 83,Grocery,300,227.71,HomeGoods LLC
Grocery Pro Bundle 97,Grocery,80,243.72,FreshFarms
Clothing Max Tool 95,Clothing,447,188.4,HomeGoods LLC
Sports Eco Item 86,Sports,439,307.4,StyleInc
Clothing Max Tool 63,Clothing,100,467.0,StyleInc
Sports Elite Widget 11,Sports,90,73.05,FitGear
Grocery Basic Accessory 25,Grocery,193,445.22,FitGear
Home & Kitchen Eco Bundle 88,Home & Kitchen,327,372.65,TechCorp
Sports Basic Kit 27,Sports,247,412.65,StyleInc
Grocery Smart Widget 33,Grocery,271,437.18,TechCorp
Home & Kitchen Premium Item 12,Home & Kitchen,179,61.21,TechCorp
Clothing Basic Gadget 89,Clothing,306,151.01,StyleInc
Clothing Eco Device 85,Clothing,78,450.74,FreshFarms
Electronics Eco Kit 39,Electronics,54,291.74,StyleInc
Electronics Super Device 31,Electronics,390,466.2,FitGear
Sports Max Gadget 96,Sports,203,98.18,StyleInc
Electronics Ultra Accessory 81,Electronics,384,40.29,FreshFarms
Clothing Smart Accessory 96,Clothing,193,471.69,TechCorp
Electronics Max Kit 52,Electronics,424,493.26,TechCorp
Electronics Max Kit 51,Electronics,211,286.94,FitGear
Clothing Premium Gadget 51,Clothing,360,294.42,TechCorp
Electronics Eco Kit 46,Electronics,6,44.72,TechCorp
Sports Eco Tool 96,Sports,451,446.98,FitGear
Grocery Smart Item 12,Grocery,220,99.23,TechCorp
Grocery Premium Widget 73,Grocery,59,455.45,FreshFarms
Grocery Ultra Widget 72,Grocery,465,7.28,TechCorp
Electronics Classic Gadget 69,Electronics,416,355.68,HomeGoods LLC
Grocery Super Device 66,Grocery,220,108.38,FitGear
Electronics Max Bundle 17,Electronics,234,350.47,FitGear
Electronics Classic Accessory 14,Electronics,209,383.34,StyleInc
Sports Basic Tool 93,Sports,364,181.03,StyleInc
Sports Super Device 48,Sports,349,56.43,HomeGoods LLC
Home & Kitchen Pro Gadget 11,Home & Kitchen,177,364.68,TechCorp
Electronics Smart Product 44,Electronics,70,363.48,HomeGoods LLC
Electronics Max Item 89,Electronics,290,355.55,FitGear
Grocery Elite Tool 11,Grocery,31,212.59,StyleInc
Grocery Premium Pack 31,Grocery,497,63.12,StyleInc
Grocery Classic Gadget 83,Grocery,335,148.14,TechCorp
Grocery Eco Bundle 13,Grocery,464,76.84,FreshFarms
Grocery Super Accessory 98,Grocery,301,344.47,FitGear
Home & Kitchen Max Product 97,Home & Kitchen,360,324.29,FreshFarms
Sports Ultra Pack 56,Sports,70,357.29,StyleInc
Grocery Smart Pack 18,Grocery,20,13.48,FitGear
Clothing Super Bundle 86,Clothing,373,123.6,FitGear
Clothing Max Pack 67,Clothing,184,297.87,StyleInc
Sports Basic Widget 89,Sports,260,293.88,StyleInc
Clothing Premium Device 44,Clothing,243,340.67,FitGear
Sports Elite Product 82,Sports,283,41.47,FreshFarms
Grocery Premium Accessory 46,Grocery,272,253.71,HomeGoods LLC
Electronics Basic Kit 67,Electronics,82,184.51,TechCorp
Electronics Eco Tool 59,Electronics,375,267.98,StyleInc
Clothing Elite Device 95,Clothing,154,273.28,FitGear
Sports Eco Product 54,Sports,228,79.7,FreshFarms
Home & Kitchen Max Product 34,Home & Kitchen,246,11.56,StyleInc
Home & Kitchen Pro Item 68,Home & Kitchen,216,354.76,StyleInc
Home & Kitchen Classic Product 69,Home & Kitchen,59,136.19,FitGear
Grocery Smart Kit 80,Grocery,433,437.43,StyleInc
Electronics Ultra Pack 96,Electronics,298,300.12,FreshFarms
Grocery Elite Kit 54,Grocery,137,336.83,StyleInc
Grocery Ultra Gadget 97,Grocery,299,208.02,StyleInc
Home & Kitchen Elite Tool 24,Home & Kitchen,478,475.31,FitGear
Home & Kitchen Pro Kit 53,Home & Kitchen,87,271.21,TechCorp
Grocery Pro Product 37,Grocery,18,455.67,TechCorp
Electronics Max Device 95,Electronics,38,219.51,FitGear
Clothing Eco Device 48,Clothing,295,145.56,TechCorp
Grocery Ultra Product 69,Grocery,441,265.27,FreshFarms
Grocery Basic Kit 61,Grocery,210,222.45,FitGear
Clothing Super Item 74,Clothing,387,138.59,HomeGoods LLC
Clothing Ultra Tool 77,Clothing,24,457.06,TechCorp
Sports Ultra Device 27,Sports,326,271.56,StyleInc
Clothing Super Product 90,Clothing,66,201.67,StyleInc
Electronics Super Item 71,Electronics,199,248.57,FitGear
Home & Kitchen Eco Device 99,Home & Kitchen,439,410.63,FreshFarms
Sports Premium Gadget 95,Sports,197,432.67,StyleInc
Sports Elite Bundle 84,Sports,0,364.93,FreshFarms
Grocery Basic Widget 17,Grocery,114,387.96,FitGear
Clothing Ultra Item 18,Clothing,280,477.72,FitGear
Clothing Ultra Kit 35,Clothing,490,478.52,TechCorp
Grocery Eco Tool 55,Grocery,57,345.58,FitGear
Grocery Max Pack 42,Grocery,66,314.91,HomeGoods LLC
Clothing Pro Pack 50,Clothing,84,19.87,StyleInc
Sports Classic Accessory 50,Sports,107,195.78,FreshFarms
Home & Kitchen Premium Tool 47,Home & Kitchen,441,475.43,TechCorp
Electronics Elite Widget 57,Electronics,489,383.29,FreshFarms
Grocery Elite Kit 64,Grocery,9,297.44,HomeGoods LLC
Home & Kitchen Super Tool 84,Home & Kitchen,163,196.83,StyleInc
Clothing Smart Kit 47,Clothing,6,247.97,FitGear
Home & Kitchen Eco Tool 81,Home & Kitchen,53,32.95,HomeGoods LLC
Sports Smart Product 65,Sports,71,216.8,StyleInc
Grocery Super Pack 97,Grocery,463,33.25,HomeGoods LLC
Sports Pro Product 23,Sports,473,228.95,FitGear
Sports Smart Kit 31,Sports,497,102.98,HomeGoods LLC
Home & Kitchen Eco Gadget 61,Home & Kitchen,200,65.82,FitGear
Clothing Super Bundle 62,Clothing,343,76.35,FitGear
Clothing Elite Tool 30,Clothing,92,11.81,FreshFarms
Electronics Eco Bundle 29,Electronics,385,190.38,FitGear
Sports Premium Device 23,Sports,223,485.44,FitGear
Home & Kitchen Premium Tool 46,Home & Kitchen,308,302.94,TechCorp
Electronics Premium Bundle 63,Electronics,388,275.41,HomeGoods LLC
Grocery Ultra Item 13,Grocery,237,218.89,FitGear
Clothing Classic Kit 93,Clothing,472,225.92,StyleInc
Home & Kitchen Pro Widget 43,Home & Kitchen,235,399.56,TechCorp
Electronics Eco Accessory 27,Electronics,188,307.22,FitGear
Electronics Super Device 99,Electronics,462,165.56,StyleInc
Sports Ultra Device 44,Sports,108,210.6,FitGear
Home & Kitchen Classic Item 83,Home & Kitchen,73,13.47,FreshFarms
Clothing Eco Pack 65,Clothing,484,241.68,TechCorp
Grocery Pro Accessory 76,Grocery,282,243.58,HomeGoods LLC
Grocery Ultra Tool 96,Grocery,181,412.1,FitGear
Home & Kitchen Smart Product 59,Home & Kitchen,214,225.11,HomeGoods LLC
Grocery Max Device 56,Grocery,60,299.18,FreshFarms
Clothing Eco Pack 82,Clothing,165,468.2,StyleInc
Grocery Basic Product 27,Grocery,271,32.76,StyleInc
Electronics Ultra Accessory 91,Electronics,4,38.58,FreshFarms
Sports Elite Item 30,Sports,49,331.38,FreshFarms
Electronics Classic Widget 34,Electronics,392,85.88,FreshFarms
Sports Max Device 88,Sports,361,437.11,FreshFarms
Grocery Classic Product 64,Grocery,300,155.38,HomeGoods LLC
Electronics Premium Tool 55,Electronics,218,207.73,StyleInc
Sports Premium Accessory 66,Sports,183,151.78,HomeGoods LLC
Electronics Super Pack 48,Electronics,95,117.93,StyleInc
Home & Kitchen Smart Device 41,Home & Kitchen,498,111.79,TechCorp
Clothing Basic Item 62,Clothing,453,131.08,FitGear
Sports Elite Bundle 64,Sports,465,296.0,FitGear
Grocery Smart Widget 51,Grocery,199,29.65,HomeGoods LLC
Home & Kitchen Basic Gadget 18,Home & Kitchen,220,107.91,HomeGoods LLC
Grocery Elite Product 31,Grocery,240,187.19,StyleInc
Home & Kitchen Basic Gadget 44,Home & Kitchen,75,236.19,HomeGoods LLC
Sports Super Tool 68,Sports,378,344.27,TechCorp
Sports Max Device 30,Sports,192,222.54,TechCorp
Clothing Basic Bundle 63,Clothing,131,141.17,FitGear
Home & Kitchen Smart Device 61,Home & Kitchen,298,355.01,FitGear
Electronics Smart Product 43,Electronics,98,384.49,HomeGoods LLC
Electronics Premium Device 89,Electronics,357,271.28,StyleInc
Grocery Max Item 55,Grocery,13,15.97,TechCorp
Electronics Elite Kit 98,Electronics,166,245.21,FitGear
Clothing Premium Tool 79,Clothing,293,466.17,TechCorp
Electronics Max Bundle 39,Electronics,231,470.93,TechCorp
Clothing Ultra Gadget 57,Clothing,434,85.12,TechCorp
Home & Kitchen Basic Bundle 72,Home & Kitchen,211,208.82,TechCorp
Home & Kitchen Basic Pack 73,Home & Kitchen,30,272.53,TechCorp
Home & Kitchen Basic Product 63,Home & Kitchen,300,213.4,FreshFarms
Grocery Super Device 56,Grocery,338,408.0,FreshFarms
Electronics Classic Gadget 22,Electronics,390,167.63,TechCorp
Electronics Classic Bundle 31,Electronics,135,33.83,StyleInc
Electronics Ultra Product 47,Electronics,114,196.41,FreshFarms
Home & Kitchen Pro Tool 22,Home & Kitchen,247,188.98,FitGear
Home & Kitchen Elite Widget 50,Home & Kitchen,353,371.46,TechCorp
Sports Classic Tool 30,Sports,77,369.36,TechCorp
Grocery Eco Device 24,Grocery,275,409.96,StyleInc
Clothing Pro Device 16,Clothing,471,25.78,TechCorp
Home & Kitchen Max Accessory 22,Home & Kitchen,45,211.44,HomeGoods LLC
Sports Pro Accessory 72,Sports,166,50.67,TechCorp
Clothing Premium Tool 18,Clothing,14,355.76,FreshFarms
Electronics Super Kit 74,Electronics,320,499.34,StyleInc
Clothing Pro Tool 99,Clothing,262,407.83,TechCorp
Clothing Classic Tool 32,Clothing,390,223.83,StyleInc
Home & Kitchen Premium Device 88,Home & Kitchen,178,168.59,TechCorp
Grocery Smart Item 58,Grocery,134,266.07,HomeGoods LLC
Sports Elite Pack 90,Sports,366,37.72,FitGear
Electronics Premium Tool 24,Electronics,42,291.47,TechCorp
Electronics Premium Kit 34,Electronics,409,294.06,TechCorp
Clothing Eco Accessory 14,Clothing,297,425.18,HomeGoods LLC
Grocery Super Gadget 14,Grocery,38,75.16,FitGear
Sports Basic Gadget 66,Sports,324,264.9,FitGear
Grocery Classic Item 11,Grocery,71,348.95,FreshFarms
Grocery Ultra Device 82,Grocery,177,274.26,HomeGoods LLC
Sports Max Gadget 60,Sports,354,236.46,FitGear
Grocery Max Accessory 40,Grocery,420,19.13,FitGear
Clothing Classic Tool 99,Clothing,416,126.95,FreshFarms
Clothing Pro Item 83,Clothing,304,438.96,HomeGoods LLC
Electronics Super Pack 67,Electronics,452,189.23,StyleInc
Home & Kitchen Super Widget 30,Home & Kitchen,157,202.9,TechCorp
Electronics Eco Accessory 64,Electronics,191,414.87,FitGear
Clothing Classic Tool 43,Clothing,80,342.3,StyleInc
Electronics Ultra Tool 93,Electronics,497,366.57,FitGear
Grocery Premium Gadget 57,Grocery,12,478.45,TechCorp
Home & Kitchen Classic Gadget 10,Home & Kitchen,293,187.15,FreshFarms
Clothing Classic Product 50,Clothing,128,379.89,StyleInc
Sports Pro Kit 23,Sports,182,129.24,StyleInc
Grocery Classic Kit 85,Grocery,212,312.33,FitGear
Clothing Elite Tool 28,Clothing,495,332.03,FitGear
Clothing Eco Tool 61,Clothing,380,217.27,FreshFarms
Grocery Pro Product 82,Grocery,351,8.51,HomeGoods LLC
Home & Kitchen Ultra Accessory 99,Home & Kitchen,269,72.9,StyleInc
Sports Basic Bundle 18,Sports,54,386.43,StyleInc
Sports Elite Device 10,Sports,23,77.89,HomeGoods LLC
Sports Max Tool 76,Sports,65,126.54,FreshFarms
Sports Classic Accessory 23,Sports,372,99.59,StyleInc
Sports Ultra Tool 67,Sports,43,128.87,FitGear
Clothing Elite Widget 47,Clothing,21,483.76,HomeGoods LLC
Sports Basic Accessory 61,Sports,159,338.42,FreshFarms
Electronics Ultra Widget 35,Electronics,309,448.72,FreshFarms
Home & Kitchen Ultra Widget 73,Home & Kitchen,275,248.02,TechCorp
Home & Kitchen Eco Device 59,Home & Kitchen,388,110.99,HomeGoods LLC
Clothing Super Item 33,Clothing,29,341.62,StyleInc
Grocery Elite Item 39,Grocery,257,463.14,FitGear
Home & Kitchen Pro Bundle 86,Home & Kitchen,25,396.15,StyleInc
Electronics Classic Product 33,Electronics,323,406.27,HomeGoods LLC
Home & Kitchen Super Bundle 47,Home & Kitchen,242,200.7,FitGear
Sports Premium Pack 38,Sports,147,315.95,FreshFarms
Electronics Max Tool 18,Electronics,473,263.45,HomeGoods LLC
Sports Max Item 88,Sports,300,94.18,TechCorp
Home & Kitchen Premium Bundle 62,Home & Kitchen,234,211.98,HomeGoods LLC
Clothing Smart Gadget 99,Clothing,119,144.14,FreshFarms
Grocery Elite Product 55,Grocery,274,224.45,TechCorp
Clothing Eco Device 45,Clothing,406,389.48,FreshFarms
Grocery Ultra Accessory 26,Grocery,178,350.01,StyleInc
Home & Kitchen Pro Product 77,Home & Kitchen,397,21.93,StyleInc
Clothing Eco Product 15,Clothing,394,430.11,FreshFarms
Grocery Super Tool 61,Grocery,254,130.65,FreshFarms
Electronics Elite Product 24,Electronics,329,364.81,FitGear
Home & Kitchen Elite Kit 33,Home & Kitchen,378,235.37,FreshFarms
Sports Pro Device 75,Sports,289,267.13,HomeGoods LLC
Clothing Max Pack 54,Clothing,83,291.66,FreshFarms
Grocery Smart Pack 66,Grocery,77,425.74,FitGear
Home & Kitchen Basic Device 66,Home & Kitchen,365,211.04,TechCorp
Home & Kitchen Max Gadget 15,Home & Kitchen,82,32.53,StyleInc
Electronics Ultra Widget 51,Electronics,113,42.65,FreshFarms
Grocery Super Widget 44,Grocery,398,427.39,FreshFarms
Home & Kitchen Classic Bundle 49,Home & Kitchen,110,54.67,FitGear
Sports Pro Tool 36,Sports,319,409.13,StyleInc
Home & Kitchen Pro Tool 15,Home & Kitchen,79,419.82,FitGear
Home & Kitchen Ultra Gadget 25,Home & Kitchen,107,441.48,HomeGoods LLC
Clothing Ultra Pack 13,Clothing,303,440.36,FitGear
Electronics Max Tool 95,Electronics,231,247.21,StyleInc
Grocery Max Device 85,Grocery,8,325.07,FitGear
Sports Basic Device 49,Sports,470,394.65,StyleInc
Home & Kitchen Eco Item 52,Home & Kitchen,423,444.81,HomeGoods LLC
Grocery Pro Widget 62,Grocery,493,230.42,HomeGoods LLC
Home & Kitchen Elite Kit 91,Home & Kitchen,70,438.59,FreshFarms
Grocery Eco Tool 74,Grocery,322,147.47,StyleInc
Home & Kitchen Elite Item 44,Home & Kitchen,233,414.01,TechCorp
Grocery Classic Device 26,Grocery,45,82.14,FitGear
Electronics Ultra Tool 72,Electronics,462,320.37,StyleInc
Home & Kitchen Super Item 66,Home & Kitchen,10,25.42,FitGear
Sports Super Widget 63,Sports,75,207.32,HomeGoods LLC
Electronics Smart Widget 70,Electronics,148,477.73,StyleInc
Electronics Max Pack 18,Electronics,471,308.91,FitGear
Grocery Elite Device 90,Grocery,470,170.34,TechCorp
Home & Kitchen Elite Device 24,Home & Kitchen,292,239.95,TechCorp
Sports Max Widget 99,Sports,64,293.05,StyleInc
Grocery Super Tool 75,Grocery,283,285.14,StyleInc
Grocery Elite Gadget 30,Grocery,270,443.9,HomeGoods LLC
Clothing Pro Device 64,Clothing,433,153.16,StyleInc
Home & Kitchen Classic Widget 50,Home & Kitchen,277,388.75,FitGear
Home & Kitchen Premium Pack 26,Home & Kitchen,417,458.98,HomeGoods LLC
Grocery Pro Gadget 48,Grocery,6,374.05,TechCorp
Electronics Elite Widget 58,Electronics,232,398.02,HomeGoods LLC
