id,name,category,price,stock,supplier
1,Gourmet Cleaner,Household,3093.59,13,Household Solutions Inc.
2,Organic Cream,Dairy,2539.25,188,Dairy Solutions Inc.
3,Pure Spinach,Produce,819.58,7,Produce Solutions Inc.
4,Premium Detergent,Household,78.05,93,Household Solutions Inc.
5,Golden Soap,Household,3903.48,101,Household Solutions Inc.
6,Premium Ice Cream,Frozen Foods,4358.39,91,Frozen Foods Solutions Inc.
7,Instant Iced Tea,Beverages,44.37,51,Beverages Solutions Inc.
8,Fresh Rice,Grains,1214.66,13,Grains Solutions Inc.
9,Organic Bagel,Bakery,3708.69,155,Bakery Solutions Inc.
10,Sweet Cookies,Snacks,707.76,2,Snacks Solutions Inc.
11,Spicy Berries,Frozen Foods,4014.44,79,Frozen Foods Solutions Inc.
12,Instant Tablet,Electronics,4496.85,35,Electronics Solutions Inc.
13,Premium Pretzels,Snacks,1520.08,79,Snacks Solutions Inc.
14,Organic Iced Tea,Beverages,2068.52,67,Beverages Solutions Inc.
15,Instant Pie,Bakery,3833.2,67,Bakery Solutions Inc.
16,Organic Water,Beverages,4593.69,124,Beverages Solutions Inc.
17,Instant Water,Beverages,3762.73,185,Beverages Solutions Inc.
18,Classic Grapes,Produce,3001.96,124,Produce Solutions Inc.
19,Instant Cereal,Grains,3389.52,40,Grains Solutions Inc.
20,Gourmet Coffee,Beverages,3039.97,122,Beverages Solutions Inc.
21,Pure Camera,Electronics,2847.61,38,Electronics Solutions Inc.
22,Classic Shaving Cream,Personal Care,558.69,158,Personal Care Solutions Inc.
23,Instant Nuts,Snacks,4543.33,70,Snacks Solutions Inc.
24,Gourmet Watch,Electronics,825.8,41,Electronics Solutions Inc.
25,Organic Rice,Grains,20.93,162,Grains Solutions Inc.
26,Sweet Flour,Grains,2644.87,26,Grains Solutions Inc.
27,Premium Paper Towel,Household,912.01,133,Household Solutions Inc.
28,Golden Tomatoes,Produce,4339.05,176,Produce Solutions Inc.
29,Sweet Yogurt,Dairy,2113.48,64,Dairy Solutions Inc.
30,Golden Bagel,Bakery,4167.24,37,Bakery Solutions Inc.
31,Pure Waffles,Frozen Foods,2000.71,66,Frozen Foods Solutions Inc.
32,Sweet Sponge,Household,1299.88,199,Household Solutions Inc.
33,Pure Soap,Household,3845.01,118,Household Solutions Inc.
34,Fresh Pizza,Frozen Foods,408.42,142,Frozen Foods Solutions Inc.
35,Gourmet Lemonade,Beverages,3929.13,75,Beverages Solutions Inc.
36,Golden Vegetables,Frozen Foods,3025.33,86,Frozen Foods Solutions Inc.
37,Pure Cake,Bakery,226.91,25,Bakery Solutions Inc.
38,Spicy Soap,Household,3816.2,152,Household Solutions Inc.
39,Gourmet Smoothie,Beverages,2985.31,74,Beverages Solutions Inc.
40,Instant Strawberries,Produce,1692.82,82,Produce Solutions Inc.
41,Instant Shampoo,Personal Care,3685.09,86,Personal Care Solutions Inc.
42,Pure Butter,Dairy,2174.15,51,Dairy Solutions Inc.
43,Organic Soda,Beverages,790.9,188,Beverages Solutions Inc.
44,Golden Nuts,Snacks,2996.97,38,Snacks Solutions Inc.
45,Gourmet Chicken Nuggets,Frozen Foods,2652.86,20,Frozen Foods Solutions Inc.
46,Golden Dumplings,Frozen Foods,2055.56,62,Frozen Foods Solutions Inc.
47,Classic Water,Beverages,3839.16,189,Beverages Solutions Inc.
48,Instant Chicken Nuggets,Frozen Foods,753.45,139,Frozen Foods Solutions Inc.
49,Sweet Soda,Beverages,872.61,29,Beverages Solutions Inc.
50,Golden Smartphone,Electronics,3866.09,70,Electronics Solutions Inc.
51,Gourmet Keyboard,Electronics,2172.87,60,Electronics Solutions Inc.
52,Golden Beans,Grains,4706.21,173,Grains Solutions Inc.
53,Fresh Sour Cream,Dairy,1627.11,112,Dairy Solutions Inc.
54,Gourmet Shampoo,Personal Care,104.69,180,Personal Care Solutions Inc.
55,Instant Headphones,Electronics,4639.74,143,Electronics Solutions Inc.
56,Fresh Trash Bags,Household,4228.22,28,Household Solutions Inc.
57,Sweet Chocolate,Snacks,1194.7,96,Snacks Solutions Inc.
58,Gourmet Butter,Dairy,652.12,137,Dairy Solutions Inc.
59,Premium Croissant,Bakery,4999.23,93,Bakery Solutions Inc.
60,Instant Watch,Electronics,3271.0,89,Electronics Solutions Inc.
61,Sweet Iced Tea,Beverages,2254.69,55,Beverages Solutions Inc.
62,Gourmet Iced Tea,Beverages,3641.92,140,Beverages Solutions Inc.
63,Sweet Headphones,Electronics,3185.04,139,Electronics Solutions Inc.
64,Organic Fruit Bar,Snacks,2330.73,54,Snacks Solutions Inc.
65,Fresh Cottage Cheese,Dairy,1185.4,166,Dairy Solutions Inc.
66,Spicy Rice Cakes,Snacks,3364.46,56,Snacks Solutions Inc.
67,Fresh Tablet,Electronics,1329.86,175,Electronics Solutions Inc.
68,Premium Face Wash,Personal Care,4667.93,57,Personal Care Solutions Inc.
69,Sweet Cake,Bakery,3699.64,177,Bakery Solutions Inc.
70,Golden Broccoli,Produce,3285.15,133,Produce Solutions Inc.
71,Spicy Baguette,Bakery,2817.39,33,Bakery Solutions Inc.
72,Gourmet Hair Gel,Personal Care,365.67,160,Personal Care Solutions Inc.
73,Premium Waffles,Frozen Foods,4804.75,168,Frozen Foods Solutions Inc.
74,Sweet Energy Bar,Snacks,3202.23,127,Snacks Solutions Inc.
75,Fresh Pie,Bakery,154.38,64,Bakery Solutions Inc.
76,Organic Pretzels,Snacks,879.89,171,Snacks Solutions Inc.
77,Sweet Pretzels,Snacks,4564.16,104,Snacks Solutions Inc.
78,Pure Sunscreen,Personal Care,4982.22,84,Personal Care Solutions Inc.
79,Fresh Butter,Dairy,592.66,92,Dairy Solutions Inc.
80,Gourmet Vegetables,Frozen Foods,164.46,199,Frozen Foods Solutions Inc.
81,Organic Butter,Dairy,585.45,110,Dairy Solutions Inc.
82,Fresh Pretzels,Snacks,4870.43,153,Snacks Solutions Inc.
83,Golden Toothpaste,Personal Care,1816.43,36,Personal Care Solutions Inc.
84,Instant Bagel,Bakery,1036.15,147,Bakery Solutions Inc.
85,Spicy Cream,Dairy,2270.74,70,Dairy Solutions Inc.
86,Spicy Carrots,Produce,3904.16,115,Produce Solutions Inc.
87,Golden Eggs,Dairy,536.29,108,Dairy Solutions Inc.
88,Pure Hair Gel,Personal Care,939.73,199,Personal Care Solutions Inc.
89,Golden Waffles,Frozen Foods,1462.84,131,Frozen Foods Solutions Inc.
90,Sweet Waffles,Frozen Foods,2463.64,59,Frozen Foods Solutions Inc.
91,Sweet Oats,Grains,4413.68,74,Grains Solutions Inc.
92,Gourmet Chocolate,Snacks,871.15,96,Snacks Solutions Inc.
93,Classic Keyboard,Electronics,2099.22,192,Electronics Solutions Inc.
94,Instant Camera,Electronics,389.26,44,Electronics Solutions Inc.
95,Organic Lentils,Grains,103.25,14,Grains Solutions Inc.
96,Instant Water,Beverages,1753.64,49,Beverages Solutions Inc.
97,Instant Lemonade,Beverages,2402.89,11,Beverages Solutions Inc.
98,Golden Potatoes,Produce,3789.68,23,Produce Solutions Inc.
99,Sweet Eggs,Dairy,1858.68,149,Dairy Solutions Inc.
100,Sweet Sour Cream,Dairy,2464.07,144,Dairy Solutions Inc.
101,Pure Donut,Bakery,3884.42,139,Bakery Solutions Inc.
102,Pure Coffee,Beverages,2015.79,142,Beverages Solutions Inc.
103,Organic Toilet Paper,Household,3603.58,68,Household Solutions Inc.
104,Golden Disinfectant,Household,2224.6,2,Household Solutions Inc.
105,Organic Fabric Softener,Household,1229.38,90,Household Solutions Inc.
106,Gourmet Fish Sticks,Frozen Foods,4500.75,48,Frozen Foods Solutions Inc.
107,Sweet Pizza,Frozen Foods,491.34,84,Frozen Foods Solutions Inc.
108,Fresh Ice Cream,Frozen Foods,872.22,33,Frozen Foods Solutions Inc.
109,Gourmet Oats,Grains,2449.5,50,Grains Solutions Inc.
110,Spicy Cookies,Snacks,2532.87,158,Snacks Solutions Inc.
111,Golden Fish Sticks,Frozen Foods,4134.5,122,Frozen Foods Solutions Inc.
112,Gourmet Rice,Grains,1843.55,81,Grains Solutions Inc.
113,Sweet Bananas,Produce,3580.56,110,Produce Solutions Inc.
114,Pure Broccoli,Produce,3713.42,126,Produce Solutions Inc.
115,Golden Fruit Bar,Snacks,1754.1,139,Snacks Solutions Inc.
116,Sweet Muffin,Bakery,4259.49,107,Bakery Solutions Inc.
117,Fresh Dumplings,Frozen Foods,4512.2,82,Frozen Foods Solutions Inc.
118,Golden Soap,Personal Care,2211.7,160,Personal Care Solutions Inc.
119,Golden Chips,Snacks,2721.3,42,Snacks Solutions Inc.
120,Spicy Cottage Cheese,Dairy,2298.16,113,Dairy Solutions Inc.
121,Sweet Milk,Dairy,1812.14,15,Dairy Solutions Inc.
122,Instant Sourdough,Bakery,2824.33,141,Bakery Solutions Inc.
123,Instant Burrito,Frozen Foods,1218.91,44,Frozen Foods Solutions Inc.
124,Pure Chocolate,Snacks,754.57,54,Snacks Solutions Inc.
125,Pure Paper Towel,Household,4853.4,174,Household Solutions Inc.
126,Classic Coffee,Beverages,4806.37,150,Beverages Solutions Inc.
127,Golden Trash Bags,Household,1758.16,197,Household Solutions Inc.
128,Organic Pasta,Grains,1983.09,38,Grains Solutions Inc.
129,Premium Tomatoes,Produce,66.63,69,Produce Solutions Inc.
130,Gourmet Butter,Dairy,3112.15,163,Dairy Solutions Inc.
131,Organic Strawberries,Produce,2029.28,175,Produce Solutions Inc.
132,Pure Sourdough,Bakery,2614.85,126,Bakery Solutions Inc.
133,Sweet Nuts,Snacks,3918.94,192,Snacks Solutions Inc.
134,Organic Quinoa,Grains,3575.87,81,Grains Solutions Inc.
135,Golden Lotion,Personal Care,4843.2,106,Personal Care Solutions Inc.
136,Instant Crackers,Snacks,2300.42,106,Snacks Solutions Inc.
137,Organic Watch,Electronics,2166.47,25,Electronics Solutions Inc.
138,Pure Cereal,Grains,2610.68,42,Grains Solutions Inc.
139,Classic Pasta,Grains,3651.43,53,Grains Solutions Inc.
140,Spicy Chips,Snacks,4852.4,24,Snacks Solutions Inc.
141,Pure Headphones,Electronics,2080.04,56,Electronics Solutions Inc.
142,Spicy Energy Bar,Snacks,4139.35,174,Snacks Solutions Inc.
143,Organic Bananas,Produce,229.78,180,Produce Solutions Inc.
144,Spicy Detergent,Household,2556.21,147,Household Solutions Inc.
145,Organic Spinach,Produce,4576.33,164,Produce Solutions Inc.
146,Fresh Baguette,Bakery,362.8,133,Bakery Solutions Inc.
147,Pure Soda,Beverages,2988.53,161,Beverages Solutions Inc.
148,Organic Coffee,Beverages,2723.94,117,Beverages Solutions Inc.
149,Gourmet Fish Sticks,Frozen Foods,119.65,129,Frozen Foods Solutions Inc.
150,Premium Butter,Dairy,1227.28,13,Dairy Solutions Inc.
151,Gourmet Pie,Bakery,3418.47,62,Bakery Solutions Inc.
152,Spicy Camera,Electronics,3008.17,104,Electronics Solutions Inc.
153,Spicy Lentils,Grains,1207.08,193,Grains Solutions Inc.
154,Organic Fries,Frozen Foods,854.42,150,Frozen Foods Solutions Inc.
155,Gourmet Soda,Beverages,189.78,29,Beverages Solutions Inc.
156,Spicy Grapes,Produce,3340.65,197,Produce Solutions Inc.
157,Instant Lotion,Personal Care,4309.38,56,Personal Care Solutions Inc.
158,Premium Paper Towel,Household,732.4,161,Household Solutions Inc.
159,Sweet Crackers,Snacks,1582.73,162,Snacks Solutions Inc.
160,Spicy Broccoli,Produce,2374.36,83,Produce Solutions Inc.
161,Instant Potatoes,Produce,1962.68,149,Produce Solutions Inc.
162,Gourmet Soda,Beverages,2684.94,135,Beverages Solutions Inc.
163,Spicy Chocolate,Snacks,1805.18,26,Snacks Solutions Inc.
164,Pure Hair Gel,Personal Care,4647.65,16,Personal Care Solutions Inc.
165,Fresh Disinfectant,Household,2699.5,149,Household Solutions Inc.
166,Organic Watch,Electronics,1120.47,101,Electronics Solutions Inc.
167,Premium Margarine,Dairy,1121.16,69,Dairy Solutions Inc.
168,Premium Speaker,Electronics,603.03,132,Electronics Solutions Inc.
169,Gourmet Sunscreen,Personal Care,1024.66,52,Personal Care Solutions Inc.
170,Classic Quinoa,Grains,2071.3,188,Grains Solutions Inc.
171,Gourmet Lemonade,Beverages,3214.61,65,Beverages Solutions Inc.
172,Instant Bread,Grains,474.24,117,Grains Solutions Inc.
173,Golden Sour Cream,Dairy,1393.98,89,Dairy Solutions Inc.
174,Pure Tablet,Electronics,966.47,84,Electronics Solutions Inc.
175,Golden Pasta,Grains,1906.23,121,Grains Solutions Inc.
176,Sweet Cheese,Dairy,3831.18,110,Dairy Solutions Inc.
177,Gourmet Bagel,Bakery,1247.78,96,Bakery Solutions Inc.
178,Premium Energy Bar,Snacks,523.13,95,Snacks Solutions Inc.
179,Organic Popcorn,Snacks,586.8,148,Snacks Solutions Inc.
180,Spicy Broccoli,Produce,27.73,95,Produce Solutions Inc.
181,Instant Brownie,Bakery,2038.04,1,Bakery Solutions Inc.
182,Organic Strawberries,Produce,3007.38,17,Produce Solutions Inc.
183,Pure Rice,Grains,2963.49,17,Grains Solutions Inc.
184,Instant Chocolate,Snacks,2596.48,44,Snacks Solutions Inc.
185,Premium Cottage Cheese,Dairy,1193.92,11,Dairy Solutions Inc.
186,Organic Mouse,Electronics,710.26,21,Electronics Solutions Inc.
187,Instant Sour Cream,Dairy,2109.28,65,Dairy Solutions Inc.
188,Classic Cleaner,Household,2949.81,35,Household Solutions Inc.
189,Spicy Toilet Paper,Household,512.05,48,Household Solutions Inc.
190,Fresh Deodorant,Personal Care,2806.08,11,Personal Care Solutions Inc.
191,Premium Toothpaste,Personal Care,3959.14,24,Personal Care Solutions Inc.
192,Spicy Croissant,Bakery,4990.74,119,Bakery Solutions Inc.
193,Gourmet Crackers,Snacks,4340.14,7,Snacks Solutions Inc.
194,Spicy Chocolate,Snacks,2969.17,161,Snacks Solutions Inc.
195,Gourmet Potatoes,Produce,2453.55,111,Produce Solutions Inc.
196,Instant Energy Bar,Snacks,1347.66,176,Snacks Solutions Inc.
197,Golden Deodorant,Personal Care,3079.24,70,Personal Care Solutions Inc.
198,Organic Energy Drink,Beverages,281.84,112,Beverages Solutions Inc.
199,Gourmet Nuts,Snacks,3918.44,39,Snacks Solutions Inc.
200,Fresh Chocolate,Snacks,3563.67,126,Snacks Solutions Inc.
201,Organic Soda,Beverages,1126.96,81,Beverages Solutions Inc.
202,Golden Waffles,Frozen Foods,54.43,168,Frozen Foods Solutions Inc.
203,Organic Strawberries,Produce,2467.41,35,Produce Solutions Inc.
204,Classic Face Wash,Personal Care,3804.51,158,Personal Care Solutions Inc.
205,Golden Coffee,Beverages,3794.04,140,Beverages Solutions Inc.
206,Instant Croissant,Bakery,3381.88,145,Bakery Solutions Inc.
207,Golden Toilet Paper,Household,1755.66,103,Household Solutions Inc.
208,Gourmet Cream,Dairy,2756.93,120,Dairy Solutions Inc.
209,Fresh Berries,Frozen Foods,4503.76,56,Frozen Foods Solutions Inc.
210,Gourmet Muffin,Bakery,4970.06,88,Bakery Solutions Inc.
211,Fresh Berries,Frozen Foods,1934.53,145,Frozen Foods Solutions Inc.
212,Golden Iced Tea,Beverages,1962.44,21,Beverages Solutions Inc.
213,Organic Lotion,Personal Care,25.15,27,Personal Care Solutions Inc.
214,Spicy Burrito,Frozen Foods,324.43,18,Frozen Foods Solutions Inc.
215,Classic Sponge,Household,2982.77,184,Household Solutions Inc.
216,Organic Juice,Beverages,691.85,144,Beverages Solutions Inc.
217,Golden Grapes,Produce,2020.5,156,Produce Solutions Inc.
218,Gourmet Cake,Bakery,4706.59,149,Bakery Solutions Inc.
219,Organic Pasta,Grains,1464.16,136,Grains Solutions Inc.
220,Classic Sponge,Household,845.34,15,Household Solutions Inc.
221,Sweet Lemonade,Beverages,3180.57,164,Beverages Solutions Inc.
222,Golden Camera,Electronics,2967.32,136,Electronics Solutions Inc.
223,Spicy Chicken Nuggets,Frozen Foods,2962.07,51,Frozen Foods Solutions Inc.
224,Golden Donut,Bakery,761.99,3,Bakery Solutions Inc.
225,Spicy Coffee,Beverages,2716.25,12,Beverages Solutions Inc.
226,Instant Pretzels,Snacks,3648.11,133,Snacks Solutions Inc.
227,Pure Cleaner,Household,2037.51,78,Household Solutions Inc.
228,Premium Rice,Grains,3468.02,16,Grains Solutions Inc.
229,Classic Iced Tea,Beverages,3297.49,104,Beverages Solutions Inc.
230,Organic Pizza,Frozen Foods,1971.82,166,Frozen Foods Solutions Inc.
231,Sweet Headphones,Electronics,1875.72,75,Electronics Solutions Inc.
232,Premium Grapes,Produce,699.8,38,Produce Solutions Inc.
233,Instant Tea,Beverages,649.39,84,Beverages Solutions Inc.
234,Spicy Juice,Beverages,4273.53,52,Beverages Solutions Inc.
235,Gourmet Pasta,Grains,733.13,194,Grains Solutions Inc.
236,Premium Face Wash,Personal Care,4785.13,21,Personal Care Solutions Inc.
237,Spicy Deodorant,Personal Care,983.24,150,Personal Care Solutions Inc.
238,Instant Chocolate,Snacks,4031.99,22,Snacks Solutions Inc.
239,Sweet Face Wash,Personal Care,3969.7,155,Personal Care Solutions Inc.
240,Pure Oats,Grains,4895.02,96,Grains Solutions Inc.
241,Organic Cake,Bakery,2430.39,77,Bakery Solutions Inc.
242,Sweet Fruit Bar,Snacks,779.91,35,Snacks Solutions Inc.
243,Sweet Fries,Frozen Foods,856.3,80,Frozen Foods Solutions Inc.
244,Pure Rice Cakes,Snacks,141.58,121,Snacks Solutions Inc.
245,Instant Keyboard,Electronics,3744.7,67,Electronics Solutions Inc.
246,Sweet Smartphone,Electronics,1722.86,127,Electronics Solutions Inc.
247,Premium Fabric Softener,Household,4954.54,83,Household Solutions Inc.
248,Premium Lemonade,Beverages,1368.43,50,Beverages Solutions Inc.
249,Instant Barley,Grains,3527.3,44,Grains Solutions Inc.
250,Instant Fries,Frozen Foods,1201.75,194,Frozen Foods Solutions Inc.
251,Instant Bread,Grains,3722.83,32,Grains Solutions Inc.
252,Sweet Strawberries,Produce,3131.16,84,Produce Solutions Inc.
253,Fresh Lentils,Grains,4538.04,97,Grains Solutions Inc.
254,Sweet Shampoo,Personal Care,3969.71,193,Personal Care Solutions Inc.
255,Organic Energy Bar,Snacks,1676.27,20,Snacks Solutions Inc.
256,Golden Iced Tea,Beverages,3143.84,12,Beverages Solutions Inc.
257,Golden Crackers,Snacks,641.93,82,Snacks Solutions Inc.
258,Golden Oats,Grains,1805.72,7,Grains Solutions Inc.
259,Golden Headphones,Electronics,1178.99,158,Electronics Solutions Inc.
260,Organic Rice,Grains,715.85,43,Grains Solutions Inc.
261,Premium Paper Towel,Household,1653.24,106,Household Solutions Inc.
262,Golden Disinfectant,Household,4947.97,166,Household Solutions Inc.
263,Sweet Broccoli,Produce,3786.75,158,Produce Solutions Inc.
264,Spicy Potatoes,Produce,528.3,147,Produce Solutions Inc.
265,Classic Watch,Electronics,2957.36,9,Electronics Solutions Inc.
266,Pure Croissant,Bakery,3949.79,101,Bakery Solutions Inc.
267,Gourmet Iced Tea,Beverages,4467.81,101,Beverages Solutions Inc.
268,Golden Fries,Frozen Foods,1162.54,76,Frozen Foods Solutions Inc.
269,Classic Cheese,Dairy,3167.28,200,Dairy Solutions Inc.
270,Golden Cheese,Dairy,2341.74,141,Dairy Solutions Inc.
271,Golden Lemonade,Beverages,4567.9,158,Beverages Solutions Inc.
272,Spicy Potatoes,Produce,1444.39,100,Produce Solutions Inc.
273,Fresh Water,Beverages,2144.75,99,Beverages Solutions Inc.
274,Fresh Cheese,Dairy,3628.07,133,Dairy Solutions Inc.
275,Spicy Lentils,Grains,816.54,158,Grains Solutions Inc.
276,Classic Chips,Snacks,4428.01,188,Snacks Solutions Inc.
277,Gourmet Nuts,Snacks,2887.3,120,Snacks Solutions Inc.
278,Fresh Lentils,Grains,2892.11,199,Grains Solutions Inc.
279,Spicy Fruit Bar,Snacks,1393.83,115,Snacks Solutions Inc.
280,Fresh Iced Tea,Beverages,2773.37,53,Beverages Solutions Inc.
281,Sweet Paper Towel,Household,3838.04,194,Household Solutions Inc.
282,Premium Donut,Bakery,799.56,147,Bakery Solutions Inc.
283,Organic Watch,Electronics,3294.55,69,Electronics Solutions Inc.
284,Instant Rice Cakes,Snacks,1173.23,200,Snacks Solutions Inc.
285,Classic Headphones,Electronics,3709.41,5,Electronics Solutions Inc.
286,Spicy Soap,Household,432.78,81,Household Solutions Inc.
287,Organic Margarine,Dairy,833.59,66,Dairy Solutions Inc.
288,Classic Disinfectant,Household,903.85,166,Household Solutions Inc.
289,Spicy Cream,Dairy,4061.89,30,Dairy Solutions Inc.
290,Fresh Tomatoes,Produce,4406.56,107,Produce Solutions Inc.
291,Sweet Fish Sticks,Frozen Foods,3906.96,180,Frozen Foods Solutions Inc.
292,Organic Hair Gel,Personal Care,530.96,8,Personal Care Solutions Inc.
293,Gourmet Nuts,Snacks,4336.75,172,Snacks Solutions Inc.
294,Spicy Mouse,Electronics,4709.09,41,Electronics Solutions Inc.
295,Instant Soap,Personal Care,2417.06,132,Personal Care Solutions Inc.
296,Organic Crackers,Snacks,1679.42,125,Snacks Solutions Inc.
297,Organic Fish Sticks,Frozen Foods,4894.86,195,Frozen Foods Solutions Inc.
298,Pure Bagel,Bakery,2948.09,24,Bakery Solutions Inc.
299,Premium Waffles,Frozen Foods,2152.96,143,Frozen Foods Solutions Inc.
300,Golden Beans,Grains,3539.05,124,Grains Solutions Inc.
301,Golden Mouse,Electronics,3323.5,67,Electronics Solutions Inc.
302,Fresh Cereal,Grains,1860.62,31,Grains Solutions Inc.
303,Gourmet Lotion,Personal Care,2982.91,51,Personal Care Solutions Inc.
304,Instant Lemonade,Beverages,2735.63,52,Beverages Solutions Inc.
305,Instant Soda,Beverages,4741.23,178,Beverages Solutions Inc.
306,Golden Oats,Grains,777.33,27,Grains Solutions Inc.
307,Fresh Carrots,Produce,186.8,147,Produce Solutions Inc.
308,Gourmet Crackers,Snacks,2218.79,174,Snacks Solutions Inc.
309,Organic Water,Beverages,1189.51,149,Beverages Solutions Inc.
310,Gourmet Nuts,Snacks,668.84,116,Snacks Solutions Inc.
311,Instant Energy Bar,Snacks,3697.33,87,Snacks Solutions Inc.
312,Spicy Pasta,Grains,584.96,99,Grains Solutions Inc.
313,Classic Tea,Beverages,49.63,132,Beverages Solutions Inc.
314,Premium Croissant,Bakery,4626.63,96,Bakery Solutions Inc.
315,Golden Iced Tea,Beverages,4164.36,115,Beverages Solutions Inc.
316,Sweet Croissant,Bakery,4248.07,80,Bakery Solutions Inc.
317,Golden Juice,Beverages,858.32,71,Beverages Solutions Inc.
318,Sweet Face Wash,Personal Care,739.01,191,Personal Care Solutions Inc.
319,Gourmet Cream,Dairy,1484.51,180,Dairy Solutions Inc.
320,Pure Rice,Grains,4065.98,91,Grains Solutions Inc.
321,Instant Soda,Beverages,2120.4,186,Beverages Solutions Inc.
322,Fresh Iced Tea,Beverages,3520.15,143,Beverages Solutions Inc.
323,Classic Pie,Bakery,1199.81,2,Bakery Solutions Inc.
324,Pure Coconut Water,Beverages,1811.3,8,Beverages Solutions Inc.
325,Golden Sponge,Household,2335.32,133,Household Solutions Inc.
326,Golden Chocolate,Snacks,693.77,30,Snacks Solutions Inc.
327,Instant Brownie,Bakery,4151.88,146,Bakery Solutions Inc.
328,Golden Dumplings,Frozen Foods,4504.49,135,Frozen Foods Solutions Inc.
329,Premium Watch,Electronics,4169.46,132,Electronics Solutions Inc.
330,Sweet Burrito,Frozen Foods,4689.44,81,Frozen Foods Solutions Inc.
331,Organic Tortilla,Bakery,4961.13,115,Bakery Solutions Inc.
332,Golden Laptop,Electronics,3352.41,105,Electronics Solutions Inc.
333,Pure Lentils,Grains,865.62,75,Grains Solutions Inc.
334,Golden Shaving Cream,Personal Care,3280.44,171,Personal Care Solutions Inc.
335,Instant Gloves,Household,1386.01,121,Household Solutions Inc.
